127.0.0.1 - - [12/Nov/2018:10:22:41 +0800] "GET / HTTP/1.1" 404 1036
0:0:0:0:0:0:0:1 - - [12/Nov/2018:10:22:42 +0800] "GET /p2p/login.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Nov/2018:10:22:42 +0800] "GET /p2p/js/bootstrap-3.3.2-dist/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Nov/2018:10:22:42 +0800] "GET /p2p/js/jquery.bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Nov/2018:10:22:42 +0800] "GET /p2p/js/jquery/jquery-2.1.3.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Nov/2018:10:22:42 +0800] "GET /p2p/css/core.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Nov/2018:10:22:42 +0800] "GET /p2p/js/bootstrap-3.3.2-dist/js/bootstrap.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Nov/2018:10:22:42 +0800] "GET /p2p/js/plugins/jquery-validation/jquery.validate.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Nov/2018:10:22:42 +0800] "GET /p2p/js/plugins/jquery-validation/localization/messages_zh.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Nov/2018:10:22:42 +0800] "GET /p2p/js/plugins/jquery.form.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Nov/2018:10:22:42 +0800] "GET /p2p/images/logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Nov/2018:10:22:42 +0800] "GET /p2p/images/sina.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Nov/2018:10:22:58 +0800] "GET /p2p/register.html HTTP/1.1" 200 6618
